Source,Target
1364089,1380634
1364089,1426413
1364089,1806838
1368021,1343754
1368021,1380634
1368021,1426413
1368021,1806838
1380634,1426413
1380634,1806838
1426413,1806838
85459,334863
85596,351025
85765,346417
85905,287684
86570,198749
86570,198750
86570,198754
198749,198750
198749,198754
198750,198754
87671,1391369
88117,89418
195137,1337131
195137,1621915
785681,1343754
1337131,1621915
1343754,1413918
1343754,1623126
89385,1067320
91199,1363420
1395299,1881545
163326,786146
287421,2068183
614684,1910646
101444,1457394
1457394,1346033
105186,312920
105186,929848
108725,113950
1351804,200486
1351804,1416489
1351804,1918723
1359965,355222
128736,160569
128736,458050
160569,458050
151982,181044
291120,131326
291120,1614354
291120,2052874
291120,2090943
132764,272417
132764,667142
272417,667142
1304967,1363581
134696,138881
199514,284657
199514,1393250
199514,1395332
161789,306413
163337,1801599
182677,1491294
1491294,1363984
198781,1362923
290900,207756
198827,288503
200486,1416489
223801,1363838
230452,316833
316833,809982
264315,1356440
1782720,396298
1360902,1424028
1360902,1441446
1614354,2090943
319220,1417989
360570,457156
360570,1415437
1378331,1378330
427110,459775
460784,1346533
586392,1339265
629365,1426050
704742,1482473
734452,1260409
1256227,1379430
1093433,1307290
1150012,1363814
1218615,1218632
1339718,1377860
1339876,1339880
1777896,1756508
1413918,1623126
1344057,1367497
1346204,1354713
1360696,1360697
1361110,1395795
1362350,1383715
1362823,1390737
1363984,1783414
1372510,1372511
1381203,1381204
1387420,1683371
1610532,1771825
1628558,1660515
